timestamp,status,Windspeed,Wind absolute direction,Wind relative direction,Ambient temperature,Grid power,Rotor rpm,Generator rpm in latest period,Pitch angle,Nacelle direction,Temperature oil in gearbox,Temperature in gearbox bearing on high speed shaft,Temperature in generator bearing 2 (Drive End),Temperature in generator bearing 1 (Non-Drive End),Nacelle temperature,Temperature oil in hydraulic group
2022-06-28 15:40:00,0,5.7,95.7,-21.4,28.0,0.1884878048780487,12.3,1385.0,-1.2,117.2,51.0,62.0,56.0,70.0,39.0,42.0
2022-06-28 15:50:00,0,7.2,95.1,-15.1,28.0,0.3516097560975609,13.3,1502.5,-1.9,110.2,50.0,62.0,55.0,68.0,39.0,42.0
2022-06-28 16:00:00,0,6.2,118.3,7.7,28.0,0.2234146341463414,12.5,1414.3,-1.5,110.5,53.0,61.0,55.0,68.0,39.0,42.0
2022-06-28 16:10:00,0,6.6,124.7,3.3,28.0,0.2221951219512195,12.7,1438.6,-1.8,121.4,54.0,61.0,54.0,66.0,38.0,41.0
2022-06-28 16:20:00,0,7.3,104.4,-0.8,27.0,0.3077073170731707,13.5,1528.6,-2.1,105.2,55.0,62.0,54.0,65.0,37.0,41.0
2022-06-28 16:30:00,0,7.1,82.4,-13.4,27.0,0.3055609756097561,13.3,1506.7,-2.0,95.8,56.0,63.0,53.0,65.0,36.0,41.0
2022-06-28 16:40:00,0,7.1,101.4,5.6,27.0,0.2957560975609756,13.2,1487.5,-2.0,95.8,56.0,63.0,53.0,64.0,36.0,41.0
2022-06-28 16:50:00,0,6.3,93.4,-2.4,28.0,0.1899512195121951,12.4,1395.1,-1.8,95.8,56.0,62.0,52.0,63.0,36.0,40.0
2022-06-28 17:00:00,0,6.4,91.6,3.4,28.0,0.2341463414634146,12.5,1414.9,-1.8,88.1,56.0,62.0,52.0,61.0,36.0,40.0
2022-06-28 17:10:00,0,6.9,90.5,-4.9,28.0,0.2834146341463414,13.0,1466.8,-1.8,95.4,56.0,62.0,51.0,60.0,36.0,40.0
2022-06-28 17:20:00,0,7.8,79.8,-4.8,28.0,0.411170731707317,13.8,1562.2,-2.1,84.6,54.0,64.0,51.0,61.0,36.0,40.0
2022-06-28 17:30:00,0,8.2,88.9,-2.7,28.0,0.4562926829268292,14.1,1590.0,-2.0,91.6,52.0,63.0,51.0,61.0,36.0,39.0
2022-06-28 17:40:00,0,8.6,103.1,-3.2,28.0,0.4835609756097561,14.4,1622.5,-2.0,106.3,52.0,63.0,51.0,62.0,36.0,39.0
2022-06-28 17:50:00,0,7.7,80.5,-18.4,28.0,0.3851707317073171,13.8,1561.9,-2.1,99.0,51.0,63.0,51.0,63.0,36.0,39.0
2022-06-28 18:00:00,0,7.7,95.7,-1.2,28.0,0.3601951219512195,14.0,1585.2,-2.2,96.9,51.0,62.0,51.0,63.0,36.0,39.0
2022-06-28 18:10:00,0,6.2,97.4,0.6000000000000001,29.0,0.1993658536585365,12.5,1405.8,-1.7000000000000002,96.9,52.0,61.0,51.0,62.0,36.0,39.0
2022-06-28 18:20:00,0,4.8,103.2,6.4,29.0,0.081170731707317,11.4,1289.9,-0.8,96.9,52.0,59.0,51.0,61.0,36.0,39.0
2022-06-28 18:30:00,0,6.1,132.1,32.5,28.0,0.1858048780487805,12.4,1399.6,-1.6,99.7,53.0,59.0,50.0,59.0,36.0,38.0
2022-06-28 18:40:00,0,5.8,107.6,6.5,28.0,0.1656097560975609,12.1,1369.5,-1.5,101.0,54.0,60.0,50.0,59.0,36.0,38.0
2022-06-28 18:50:00,0,6.0,90.8,0.2,28.0,0.1569756097560975,11.8,1335.4,-1.8,90.5,54.0,60.0,50.0,58.0,36.0,38.0
